video_title,video_url,timestamp,channel,channel_url
Je hebt naar If Metro Boomin Sampled Jordan Belfort Instead of Homelander gekeken,https://www.youtube.com/watch?v=dMJpXljFo9E,2024-05-24,Nick Scott,https://www.youtube.com/channel/UClgFNgZFo18fi80V2fqzR5Q
Je hebt naar The Brutal Reality of the Middle East | Mosab Hassan Yousef | EP 443 gekeken,https://www.youtube.com/watch?v=I5VPFw0vI6U,2024-05-24,Jordan B Peterson,https://www.youtube.com/channel/UCL_f53ZEJxp8TtlOkHwMV9Q
Je hebt naar Full English 🍳 #shorts gekeken,https://www.youtube.com/watch?v=2esEvMSmOCE,2024-05-24,Andy Cooks,https://www.youtube.com/channel/UCqNkn5PNeSqbQTAR5RP-L-Q
Je hebt naar Have you ever met a butcher that orders his steak well done? 🥩 #nonvegan #welldone #mediumrare gekeken,https://www.youtube.com/watch?v=7gBHqsOdjtA,2024-05-24,Mario’s Meats & Deli,https://www.youtube.com/channel/UCvfHuKnmWZnTY-e7h5uSDXA
Je hebt naar The disRICEpect 😒🍚🇵🇭#filipino#filipinocomedy#shorts#cherish#cherishgrace#cherishdelrosario#rice gekeken,https://www.youtube.com/watch?v=YJTE6Fodprg,2024-05-24,Cherish Del Rosario,https://www.youtube.com/channel/UCJFrizo-ooVu61wQ8AWq-Hg
Je hebt naar Rating Steak from France gekeken,https://www.youtube.com/watch?v=wkAL0q3XdLM,2024-05-24,GavinSnacks,https://www.youtube.com/channel/UC0PuZ2xecMRc0EELIL29rZw
Je hebt naar AirPods Pro 2 - New Features! 🎧🔥 #shorts gekeken,https://www.youtube.com/watch?v=5mr_yMe230M,2024-05-24,Brandon Butch,https://www.youtube.com/channel/UCpZy-Hfqcxf-R7nQzlv9Bvw
"Je hebt naar it's been a long journey, stop here and have some rest gekeken",https://www.youtube.com/watch?v=G_G5fDZp1oo,2024-05-24,nobody,https://www.youtube.com/channel/UCHRx3w9GE3r-iqpvIKsTgeQ
Je hebt naar Ludovico Einaudi - Andare (Soft Sounds) gekeken,https://www.youtube.com/watch?v=QUXEDSC13FI,2024-05-24,dhe Perissann,https://www.youtube.com/channel/UCfyUjw4uv_LLMSWtB7Nszig
Je hebt naar some things will never change // dark ambient playlist gekeken,https://www.youtube.com/watch?v=4sUhOfs1wvc,2024-05-24,Be Quiet,https://www.youtube.com/channel/UCi3OTpThhp7kO74BYk5IqOg
Je hebt naar Danger Dan ft. Igor Levit ft. RTO - Das ist alles von der Kunstfreiheit gedeckt | ZDF Magazin Royale gekeken,https://www.youtube.com/watch?v=mFML30AQuT8,2024-05-23,ZDF MAGAZIN ROYALE,https://www.youtube.com/channel/UCNNEMxGKV1LsKZRt4vaIbvw
"Je hebt naar Jan Böhmermann ft. Jadebuben, RTO & popCHORköln – Vegesacker Friesenjung | ZDF Magazin Royale gekeken",https://www.youtube.com/watch?v=9_5_9msxZH4,2024-05-23,ZDF MAGAZIN ROYALE,https://www.youtube.com/channel/UCNNEMxGKV1LsKZRt4vaIbvw
Je hebt naar Succession finale theme (slowed + reverb) 1 hour gekeken,https://www.youtube.com/watch?v=dXHIvrm8gM0,2024-05-23,Tucker Cruise,https://www.youtube.com/channel/UCfazOW0l_beAXd4BRJdMXzA
"Je hebt naar Hans Zimmer, Max Richter and Ludovico Einaudi Collections II gekeken",https://www.youtube.com/watch?v=oMkFuaJPzsA,2024-05-23,dhe Perissann,https://www.youtube.com/channel/UCfyUjw4uv_LLMSWtB7Nszig
Je hebt naar Crime and Punishment: Music for reading Dostoevsky gekeken,https://www.youtube.com/watch?v=BV9OlaRjAig,2024-05-23,Julia Gerdner,https://www.youtube.com/channel/UC1TMt-xT-c6XEYorhlHcu2Q
Je hebt naar Ludovico Einaudi - I Giorni (Soft Sounds) gekeken,https://www.youtube.com/watch?v=fXqg6o7mtds,2024-05-23,dhe Perissann,https://www.youtube.com/channel/UCfyUjw4uv_LLMSWtB7Nszig
Je hebt naar How To See Instagram Password While Logged In gekeken,https://www.youtube.com/watch?v=vPFMaTeU-zE,2024-05-23,Trevor Nace,https://www.youtube.com/channel/UCU5pjAzVVE68WbU9KbAB6QA
Je hebt naar Ludovico Einaudi - I Giorni (Soft Sounds) gekeken,https://www.youtube.com/watch?v=fXqg6o7mtds,2024-05-22,dhe Perissann,https://www.youtube.com/channel/UCfyUjw4uv_LLMSWtB7Nszig
Je hebt naar Hans Zimmer - Interstellar (minimalist) gekeken,https://www.youtube.com/watch?v=a4E95rYAe4U,2024-05-22,dhe Perissann,https://www.youtube.com/channel/UCfyUjw4uv_LLMSWtB7Nszig
